Period,Geography,Measure,Observation
1915,Scotland,Annual Mean Temperature (Trend),6.87
1916,Scotland,Annual Mean Temperature (Trend),6.87
1917,Scotland,Annual Mean Temperature (Trend),6.86
1918,Scotland,Annual Mean Temperature (Trend),6.86
1919,Scotland,Annual Mean Temperature (Trend),6.87
1920,Scotland,Annual Mean Temperature (Trend),6.88
1921,Scotland,Annual Mean Temperature (Trend),6.9
1922,Scotland,Annual Mean Temperature (Trend),6.9
1923,Scotland,Annual Mean Temperature (Trend),6.91
1924,Scotland,Annual Mean Temperature (Trend),6.93
1925,Scotland,Annual Mean Temperature (Trend),6.95
1926,Scotland,Annual Mean Temperature (Trend),6.97
1927,Scotland,Annual Mean Temperature (Trend),6.98
1928,Scotland,Annual Mean Temperature (Trend),7.0
1929,Scotland,Annual Mean Temperature (Trend),7.02
1930,Scotland,Annual Mean Temperature (Trend),7.04
1931,Scotland,Annual Mean Temperature (Trend),7.07
1932,Scotland,Annual Mean Temperature (Trend),7.1
1933,Scotland,Annual Mean Temperature (Trend),7.12
1934,Scotland,Annual Mean Temperature (Trend),7.14
1935,Scotland,Annual Mean Temperature (Trend),7.15
1936,Scotland,Annual Mean Temperature (Trend),7.16
1937,Scotland,Annual Mean Temperature (Trend),7.17
1938,Scotland,Annual Mean Temperature (Trend),7.18
1939,Scotland,Annual Mean Temperature (Trend),7.19
1940,Scotland,Annual Mean Temperature (Trend),7.19
1941,Scotland,Annual Mean Temperature (Trend),7.19
1942,Scotland,Annual Mean Temperature (Trend),7.19
1943,Scotland,Annual Mean Temperature (Trend),7.2
1944,Scotland,Annual Mean Temperature (Trend),7.2
1945,Scotland,Annual Mean Temperature (Trend),7.21
1946,Scotland,Annual Mean Temperature (Trend),7.2
1947,Scotland,Annual Mean Temperature (Trend),7.2
1948,Scotland,Annual Mean Temperature (Trend),7.19
1949,Scotland,Annual Mean Temperature (Trend),7.18
1950,Scotland,Annual Mean Temperature (Trend),7.17
1951,Scotland,Annual Mean Temperature (Trend),7.15
1952,Scotland,Annual Mean Temperature (Trend),7.14
1953,Scotland,Annual Mean Temperature (Trend),7.13
1954,Scotland,Annual Mean Temperature (Trend),7.11
1955,Scotland,Annual Mean Temperature (Trend),7.1
1956,Scotland,Annual Mean Temperature (Trend),7.09
1957,Scotland,Annual Mean Temperature (Trend),7.08
1958,Scotland,Annual Mean Temperature (Trend),7.06
1959,Scotland,Annual Mean Temperature (Trend),7.05
1960,Scotland,Annual Mean Temperature (Trend),7.03
1961,Scotland,Annual Mean Temperature (Trend),7.01
1962,Scotland,Annual Mean Temperature (Trend),7.0
1963,Scotland,Annual Mean Temperature (Trend),6.99
1964,Scotland,Annual Mean Temperature (Trend),6.98
1965,Scotland,Annual Mean Temperature (Trend),6.98
1966,Scotland,Annual Mean Temperature (Trend),6.98
1967,Scotland,Annual Mean Temperature (Trend),6.98
1968,Scotland,Annual Mean Temperature (Trend),6.98
1969,Scotland,Annual Mean Temperature (Trend),6.98
1970,Scotland,Annual Mean Temperature (Trend),6.99
1971,Scotland,Annual Mean Temperature (Trend),7.0
1972,Scotland,Annual Mean Temperature (Trend),7.0
1973,Scotland,Annual Mean Temperature (Trend),7.0
1974,Scotland,Annual Mean Temperature (Trend),7.0
1975,Scotland,Annual Mean Temperature (Trend),7.0
1976,Scotland,Annual Mean Temperature (Trend),7.01
1977,Scotland,Annual Mean Temperature (Trend),7.01
1978,Scotland,Annual Mean Temperature (Trend),7.02
1979,Scotland,Annual Mean Temperature (Trend),7.02
1980,Scotland,Annual Mean Temperature (Trend),7.03
1981,Scotland,Annual Mean Temperature (Trend),7.04
1982,Scotland,Annual Mean Temperature (Trend),7.05
1983,Scotland,Annual Mean Temperature (Trend),7.07
1984,Scotland,Annual Mean Temperature (Trend),7.08
1985,Scotland,Annual Mean Temperature (Trend),7.09
1986,Scotland,Annual Mean Temperature (Trend),7.11
1987,Scotland,Annual Mean Temperature (Trend),7.14
1988,Scotland,Annual Mean Temperature (Trend),7.18
1989,Scotland,Annual Mean Temperature (Trend),7.22
1990,Scotland,Annual Mean Temperature (Trend),7.26
1991,Scotland,Annual Mean Temperature (Trend),7.29
1992,Scotland,Annual Mean Temperature (Trend),7.34
1993,Scotland,Annual Mean Temperature (Trend),7.38
1994,Scotland,Annual Mean Temperature (Trend),7.43
1995,Scotland,Annual Mean Temperature (Trend),7.47
1996,Scotland,Annual Mean Temperature (Trend),7.51
1997,Scotland,Annual Mean Temperature (Trend),7.56
1998,Scotland,Annual Mean Temperature (Trend),7.59
1999,Scotland,Annual Mean Temperature (Trend),7.62
2000,Scotland,Annual Mean Temperature (Trend),7.66
2001,Scotland,Annual Mean Temperature (Trend),7.69
2002,Scotland,Annual Mean Temperature (Trend),7.71
2003,Scotland,Annual Mean Temperature (Trend),7.73
2004,Scotland,Annual Mean Temperature (Trend),7.75
2005,Scotland,Annual Mean Temperature (Trend),7.76
2006,Scotland,Annual Mean Temperature (Trend),7.77
2007,Scotland,Annual Mean Temperature (Trend),7.78
2008,Scotland,Annual Mean Temperature (Trend),7.78
2009,Scotland,Annual Mean Temperature (Trend),7.79
2010,Scotland,Annual Mean Temperature (Trend),7.79
2011,Scotland,Annual Mean Temperature (Trend),7.8
2012,Scotland,Annual Mean Temperature (Trend),7.81
2013,Scotland,Annual Mean Temperature (Trend),7.82
2014,Scotland,Annual Mean Temperature (Trend),7.84
2015,Scotland,Annual Mean Temperature (Trend),7.85
2016,Scotland,Annual Mean Temperature (Trend),7.86
2017,Scotland,Annual Mean Temperature (Trend),7.87
2018,Scotland,Annual Mean Temperature (Trend),7.88
2019,Scotland,Annual Mean Temperature (Trend),7.89
2020,Scotland,Annual Mean Temperature (Trend),7.9
2021,Scotland,Annual Mean Temperature (Trend),7.9
2022,Scotland,Annual Mean Temperature (Trend),7.91
1884,Northern Ireland,Annual Mean Temperature (Trend),8.28
1885,Northern Ireland,Annual Mean Temperature (Trend),8.28
1886,Northern Ireland,Annual Mean Temperature (Trend),8.29
1887,Northern Ireland,Annual Mean Temperature (Trend),8.31
1888,Northern Ireland,Annual Mean Temperature (Trend),8.32
1889,Northern Ireland,Annual Mean Temperature (Trend),8.33
1890,Northern Ireland,Annual Mean Temperature (Trend),8.35
1891,Northern Ireland,Annual Mean Temperature (Trend),8.36
1892,Northern Ireland,Annual Mean Temperature (Trend),8.37
1893,Northern Ireland,Annual Mean Temperature (Trend),8.38
1894,Northern Ireland,Annual Mean Temperature (Trend),8.39
1895,Northern Ireland,Annual Mean Temperature (Trend),8.4
1896,Northern Ireland,Annual Mean Temperature (Trend),8.4
1897,Northern Ireland,Annual Mean Temperature (Trend),8.4
1898,Northern Ireland,Annual Mean Temperature (Trend),8.4
1899,Northern Ireland,Annual Mean Temperature (Trend),8.39
1900,Northern Ireland,Annual Mean Temperature (Trend),8.38
1901,Northern Ireland,Annual Mean Temperature (Trend),8.36
1902,Northern Ireland,Annual Mean Temperature (Trend),8.34
1903,Northern Ireland,Annual Mean Temperature (Trend),8.32
1904,Northern Ireland,Annual Mean Temperature (Trend),8.3
1905,Northern Ireland,Annual Mean Temperature (Trend),8.28
1906,Northern Ireland,Annual Mean Temperature (Trend),8.26
1907,Northern Ireland,Annual Mean Temperature (Trend),8.25
1908,Northern Ireland,Annual Mean Temperature (Trend),8.23
1909,Northern Ireland,Annual Mean Temperature (Trend),8.22
1910,Northern Ireland,Annual Mean Temperature (Trend),8.22
1911,Northern Ireland,Annual Mean Temperature (Trend),8.21
1912,Northern Ireland,Annual Mean Temperature (Trend),8.21
1913,Northern Ireland,Annual Mean Temperature (Trend),8.21
1914,Northern Ireland,Annual Mean Temperature (Trend),8.21
1915,Northern Ireland,Annual Mean Temperature (Trend),8.21
1916,Northern Ireland,Annual Mean Temperature (Trend),8.22
1917,Northern Ireland,Annual Mean Temperature (Trend),8.23
1918,Northern Ireland,Annual Mean Temperature (Trend),8.24
1919,Northern Ireland,Annual Mean Temperature (Trend),8.25
1920,Northern Ireland,Annual Mean Temperature (Trend),8.27
1921,Northern Ireland,Annual Mean Temperature (Trend),8.3
1922,Northern Ireland,Annual Mean Temperature (Trend),8.31
1923,Northern Ireland,Annual Mean Temperature (Trend),8.32
1924,Northern Ireland,Annual Mean Temperature (Trend),8.34
1925,Northern Ireland,Annual Mean Temperature (Trend),8.35
1926,Northern Ireland,Annual Mean Temperature (Trend),8.37
1927,Northern Ireland,Annual Mean Temperature (Trend),8.38
1928,Northern Ireland,Annual Mean Temperature (Trend),8.39
1929,Northern Ireland,Annual Mean Temperature (Trend),8.41
1930,Northern Ireland,Annual Mean Temperature (Trend),8.43
1931,Northern Ireland,Annual Mean Temperature (Trend),8.45
1932,Northern Ireland,Annual Mean Temperature (Trend),8.47
1933,Northern Ireland,Annual Mean Temperature (Trend),8.49
1934,Northern Ireland,Annual Mean Temperature (Trend),8.51
1935,Northern Ireland,Annual Mean Temperature (Trend),8.53
1936,Northern Ireland,Annual Mean Temperature (Trend),8.55
1937,Northern Ireland,Annual Mean Temperature (Trend),8.57
1938,Northern Ireland,Annual Mean Temperature (Trend),8.59
1939,Northern Ireland,Annual Mean Temperature (Trend),8.61
1940,Northern Ireland,Annual Mean Temperature (Trend),8.62
1941,Northern Ireland,Annual Mean Temperature (Trend),8.64
1942,Northern Ireland,Annual Mean Temperature (Trend),8.66
1943,Northern Ireland,Annual Mean Temperature (Trend),8.68
1944,Northern Ireland,Annual Mean Temperature (Trend),8.7
1945,Northern Ireland,Annual Mean Temperature (Trend),8.71
1946,Northern Ireland,Annual Mean Temperature (Trend),8.71
1947,Northern Ireland,Annual Mean Temperature (Trend),8.72
1948,Northern Ireland,Annual Mean Temperature (Trend),8.72
1949,Northern Ireland,Annual Mean Temperature (Trend),8.72
1950,Northern Ireland,Annual Mean Temperature (Trend),8.71
1951,Northern Ireland,Annual Mean Temperature (Trend),8.69
1952,Northern Ireland,Annual Mean Temperature (Trend),8.68
1953,Northern Ireland,Annual Mean Temperature (Trend),8.67
1954,Northern Ireland,Annual Mean Temperature (Trend),8.65
1955,Northern Ireland,Annual Mean Temperature (Trend),8.64
1956,Northern Ireland,Annual Mean Temperature (Trend),8.62
1957,Northern Ireland,Annual Mean Temperature (Trend),8.6
1958,Northern Ireland,Annual Mean Temperature (Trend),8.58
1959,Northern Ireland,Annual Mean Temperature (Trend),8.56
1960,Northern Ireland,Annual Mean Temperature (Trend),8.53
1961,Northern Ireland,Annual Mean Temperature (Trend),8.51
1962,Northern Ireland,Annual Mean Temperature (Trend),8.49
1963,Northern Ireland,Annual Mean Temperature (Trend),8.47
1964,Northern Ireland,Annual Mean Temperature (Trend),8.46
1965,Northern Ireland,Annual Mean Temperature (Trend),8.45
1966,Northern Ireland,Annual Mean Temperature (Trend),8.45
1967,Northern Ireland,Annual Mean Temperature (Trend),8.44
1968,Northern Ireland,Annual Mean Temperature (Trend),8.43
1969,Northern Ireland,Annual Mean Temperature (Trend),8.44
1970,Northern Ireland,Annual Mean Temperature (Trend),8.44
1971,Northern Ireland,Annual Mean Temperature (Trend),8.44
1972,Northern Ireland,Annual Mean Temperature (Trend),8.43
1973,Northern Ireland,Annual Mean Temperature (Trend),8.43
1974,Northern Ireland,Annual Mean Temperature (Trend),8.43
1975,Northern Ireland,Annual Mean Temperature (Trend),8.44
1976,Northern Ireland,Annual Mean Temperature (Trend),8.44
1977,Northern Ireland,Annual Mean Temperature (Trend),8.45
1978,Northern Ireland,Annual Mean Temperature (Trend),8.46
1979,Northern Ireland,Annual Mean Temperature (Trend),8.46
1980,Northern Ireland,Annual Mean Temperature (Trend),8.47
1981,Northern Ireland,Annual Mean Temperature (Trend),8.48
1982,Northern Ireland,Annual Mean Temperature (Trend),8.5
1983,Northern Ireland,Annual Mean Temperature (Trend),8.51
1984,Northern Ireland,Annual Mean Temperature (Trend),8.53
1985,Northern Ireland,Annual Mean Temperature (Trend),8.55
1986,Northern Ireland,Annual Mean Temperature (Trend),8.57
1987,Northern Ireland,Annual Mean Temperature (Trend),8.6
1988,Northern Ireland,Annual Mean Temperature (Trend),8.64
1989,Northern Ireland,Annual Mean Temperature (Trend),8.69
1990,Northern Ireland,Annual Mean Temperature (Trend),8.72
1991,Northern Ireland,Annual Mean Temperature (Trend),8.76
1992,Northern Ireland,Annual Mean Temperature (Trend),8.81
1993,Northern Ireland,Annual Mean Temperature (Trend),8.86
1994,Northern Ireland,Annual Mean Temperature (Trend),8.91
1995,Northern Ireland,Annual Mean Temperature (Trend),8.95
1996,Northern Ireland,Annual Mean Temperature (Trend),8.99
1997,Northern Ireland,Annual Mean Temperature (Trend),9.03
1998,Northern Ireland,Annual Mean Temperature (Trend),9.06
1999,Northern Ireland,Annual Mean Temperature (Trend),9.1
2000,Northern Ireland,Annual Mean Temperature (Trend),9.12
2001,Northern Ireland,Annual Mean Temperature (Trend),9.15
2002,Northern Ireland,Annual Mean Temperature (Trend),9.17
2003,Northern Ireland,Annual Mean Temperature (Trend),9.18
2004,Northern Ireland,Annual Mean Temperature (Trend),9.19
2005,Northern Ireland,Annual Mean Temperature (Trend),9.2
2006,Northern Ireland,Annual Mean Temperature (Trend),9.21
2007,Northern Ireland,Annual Mean Temperature (Trend),9.21
2008,Northern Ireland,Annual Mean Temperature (Trend),9.21
2009,Northern Ireland,Annual Mean Temperature (Trend),9.21
2010,Northern Ireland,Annual Mean Temperature (Trend),9.21
2011,Northern Ireland,Annual Mean Temperature (Trend),9.22
2012,Northern Ireland,Annual Mean Temperature (Trend),9.22
2013,Northern Ireland,Annual Mean Temperature (Trend),9.23
2014,Northern Ireland,Annual Mean Temperature (Trend),9.25
2015,Northern Ireland,Annual Mean Temperature (Trend),9.26
2016,Northern Ireland,Annual Mean Temperature (Trend),9.27
2017,Northern Ireland,Annual Mean Temperature (Trend),9.29
2018,Northern Ireland,Annual Mean Temperature (Trend),9.3
2019,Northern Ireland,Annual Mean Temperature (Trend),9.31
2020,Northern Ireland,Annual Mean Temperature (Trend),9.32
2021,Northern Ireland,Annual Mean Temperature (Trend),9.32
2022,Northern Ireland,Annual Mean Temperature (Trend),9.33
